GaussianCopula,tCopula,ClaytonCopula,HS
-0.04568573040173194,-0.042104363927672736,-0.05061181074171512,-0.04044099660683874
-0.04179785247824473,-0.03630551705227877,-0.049991993420052686,-0.04044099660683874
-0.051688100191585394,-0.04347050146270558,-0.0500295019874582,-0.04044099660683874
-0.05610103380679822,-0.033560565763493796,-0.04863756189822572,-0.04044099660683874
-0.038828796923374854,-0.03547006587822657,-0.05252523448370315,-0.04044099660683874
-0.03800903440039486,-0.04283741386082602,-0.05604276616361748,-0.04044099660683874
-0.03637170175998293,-0.05127698914614158,-0.054840324091121696,-0.04044099660683874
-0.05017579915976655,-0.05650669135690645,-0.04470422503118499,-0.04044099660683874
-0.05212300863221753,-0.05060973105051671,-0.05008067121716708,-0.04044099660683874
-0.062467734124847865,-0.07738866487665673,-0.04782507535575239,-0.04044099660683874
-0.05052979409477774,-0.047625119978955945,-0.06724387274152999,-0.04044099660683874
-0.03924099062194773,-0.05917062481978598,-0.047132418685072126,-0.04044099660683874
-0.05068904074746847,-0.05075925533906468,-0.047411766102138236,-0.04044099660683874
-0.03656755401260137,-0.036645403056508735,-0.04752961529597512,-0.04044099660683874
-0.042003035670235826,-0.043077623411196114,-0.05081597430643609,-0.04044099660683874
